,Elo_2014,Elo_2015,Elo_2016,Elo_2017,Elo_2018,Elo_2019,Elo_2020
Barcelona,2023.4963981902406,2057.412831501446,2053.1080699032095,2019.9417322330687,2029.962259928096,2002.5598190888604,1968.160766602222
RBLeipzig,1439.176985306818,1476.2527160640798,1605.0828929230588,1708.0915517330325,1708.7087762015178,1777.7718231821434,1814.5049682599997
RealMadrid,2056.538702172289,2054.2781385944318,2048.9360852361538,2047.3640406408133,1995.996023995833,1874.416661580313,1902.399182129
ParisSG,1859.954469031856,1864.8130262583331,1888.4114216130497,1890.4485077912088,1899.0955388570383,1861.699557834,1878.7727172839998
ManCity,1937.1354029456977,1886.149531720723,1858.7166551618393,1888.8521563929216,1978.5321017179544,2009.8825281317047,1989.3573540588893
Dortmund,1876.0717674082562,1808.6591521230112,1863.716256490122,1840.0345526803337,1778.2474566713602,1820.1967813672525,1819.949393137858
Tottenham,1790.0591650894844,1746.5400660591336,1813.4150227029893,1876.204994201874,1913.6371737394327,1879.2187348984535,1821.436116536
Atalanta,1580.5761800130658,1589.8071746828414,1597.361708366897,1700.091459147582,1725.8171144674143,1730.1234933949122,1772.4670785753842
Valencia,1798.0256715052426,1860.4517423929478,1741.8137595930968,1721.5146190672174,1783.997834928901,1803.6097186932045,1808.7822875964287
Chelsea,1930.2349365234124,1858.527719562585,1812.3475776090386,1901.1736923385395,1860.5561930341112,1859.8531441633331,1840.9714219844443
Bayern,2060.823208895324,2011.2424525218419,2008.2247832834255,1978.9548274741337,1953.5710012180243,1938.4331847353242,1940.59513855375
Napoli,1768.893182119896,1777.6792602538537,1809.218866144563,1857.3311767574194,1863.9169732958333,1813.5278478290588,1747.8232985269237
Lyon,1688.789094218819,1723.389070494071,1690.2955525712496,1727.1358406995603,1748.2403071696342,1715.9842950225861,1689.136165845294
Juventus,1890.4055012021943,1906.372846985126,1921.5331624344446,1944.510877182588,1973.1607091571761,1910.3373694793588,1901.424230956
Atletico,1952.4006430886366,1948.9365603423255,1979.6876380553572,1940.533995194319,1930.0549223534777,1886.226538616521,1846.2312233672733
Liverpool,1857.413953145625,1765.3886670875495,1793.5656775273742,1838.6623461918,1921.199074027628,2008.9996378582227,2079.801318356999
