Team,home_goal_32_7,home_lost_32_7,away_goal_32_7,away_lost_32_7,home_goal_16_7,home_lost_16_7,away_goal_16_7,away_lost_16_7
Schalke 04,3,2,2,2,1,0,1,0
AS Roma,5,2,4,6,2,1,1,2
Olympiacos,4,1,6,7,0,0,3,0
Liverpool,12,2,3,6,2,0,0,1
Fenerbahce,6,1,5,2,3,2,3,2
Arsenal,12,1,3,2,0,0,0,2
Celtic,5,2,4,0,2,3,1,0
Olympique Lyon,6,7,3,5,1,1,1,0
Sevilla,9,4,3,5,3,2,3,2
AC Milan,7,2,3,5,0,2,0,0
Barcelona,8,1,2,4,1,0,2,3
Manchester United,7,1,3,6,1,0,1,1
FC Porto,5,2,5,3,1,0,1,0
Real Madrid,9,4,5,4,1,2,2,1
Chelsea,3,1,1,6,3,0,0,0
Internazionale,9,2,2,3,0,1,2,0
