,team,Elo_2014,Elo_2015,Elo_2016,Elo_2017,Elo_2018,Elo_2019,Elo_2020,2014_scored,2014_lost,2014_home_scored,2014_home_lost,2014_away_scored,2014_away_lost,2014_16scored,2014_16lost,2014_16home_scored,2014_16home_lost,2014_16away_scored,2014_16away_lost,2014_8scored ,2014_8lost,2014_8home_scored,2014_8home_lost,2014_8away_scored,2014_8away_lost,2014_4scored,2014_4lost,2014_4home_scored,2014_4home_lost,2014_4away_scored,2014_4away_lost,2014_finalscored,2014_finallost,2015_scored,2015_lost,2015_home_scored,2015_home_lost,2015_away_scored,2015_away_ lost,2015_16scored,2015_16lost,2015_16home_scored,2015_16home_lost,2015_16away_scored,2015_16away_lost,2015_8scored ,2015_8lost,2015_8home_scored,2015_8home_lost,2015_8away_scored,2015_8away_lost,2015_4scored,2015_4lost,2015_4home_scored,2015_4home_lost,2015_4away_scored,2015_4away_lost,2015_finalscored,2015_finallost,2016_scored,2016_lost,2016_home_scored,2016_home_lost,2016_away_scored,2016_away_lost,2016_16scored,2016_16lost,2016_16home_scored,2016_16home_lost,2016_16away_scored,2016_16away_lost,2016_8scored ,2016_8lost,2016_8home_scored,2016_8home_lost,2016_8away_scored,2016_8away_lost,2016_4scored,2016_4lost,2016_4home_scored,2016_4home_lost,2016_4away_scored,2016_4away_lost,2016_finalscored,2016_finallost,2017_scored,2017_lost,2017_home_scored,2017_home_lost,2017_away_scored,2017_away_lost,2017_16scored,2017_16lost,2017_16home_scored,2017_16home_lost,2017_16away_scored,2017_16away_lost,2017_8scored ,2017_8lost,2017_8home_scored,2017_8home_lost,2017_8away_scored,2017_8away_lost,2017_4scored,2017_4lost,2017_4home_scored,2017_4home_lost,2017_4away_scored,2017_4away_lost,2017_finalscored,2017_finallost,2018_scored,2018_lost,2018_home_scored,2018_home_lost,2018_away_scored,2018_away_lost,2018_16scored,2018_16lost,2018_16home_scored,2018_16home_lost,2018_16away_scored,2018_16away_lost,2018_8scored ,2018_8lost,2018_8home_scored,2018_8home_lost,2018_8away_scored,2018_8away_lost,2018_4scored,2018_4lost,2018_4home_scored,2018_4home_lost,2018_4away_scored,2018_4away_lost,2018_finalscored,2018_finallost
0,Barcelona,2023.496398,2057.412832,2053.10807,2019.941732,2029.96226,2002.559819,1968.160767,15,5,7,2,8,3,3,1,1,0,2,1,5,1,2,0,3,1,5,3,3,0,2,3,3,1,20,4,15,0,5,4,6,5,6,1,0,4,0,3,0,0,0,3,0,0,0,0,0,0,0,0,20,4,15,0,5,4,6,5,6,1,0,4,0,3,0,0,0,3,0,0,0,0,0,0,0,0,9,1,8,1,1,0,4,1,3,0,1,1,4,4,4,1,0,3,0,0,0,0,0,0,0,0,14,5,7,1,7,4,5,1,5,1,0,0,4,0,3,0,1,0,3,4,3,0,0,4,0,0
1,RBLeipzig,1439.176985,1476.252716,1605.082893,1708.091552,1708.708776,1777.771823,1814.504968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,11,5,5,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,RealMadrid,2056.538702,2054.278139,2048.936085,2047.364041,1995.996024,1874.416662,1902.399182,16,2,10,1,6,1,5,4,4,3,0,2,1,0,1,0,0,0,3,2,1,1,1,2,0,0,16,10,9,4,7,6,6,2,3,1,3,1,6,3,4,2,2,1,4,2,3,0,1,2,4,1,16,10,9,4,7,6,6,2,3,1,3,1,6,3,4,2,2,1,4,2,3,0,1,2,4,1,17,7,7,3,10,4,5,2,3,1,2,1,4,3,1,3,3,0,4,3,2,2,2,1,3,1,12,5,5,3,7,3,3,5,1,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,ParisSG,1859.954469,1864.813026,1888.411422,1890.448508,1899.095539,1861.699558,1878.772717,10,7,7,3,3,4,3,3,1,1,2,2,1,5,1,3,0,2,0,0,0,0,0,0,0,0,13,7,6,3,7,4,5,6,4,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,7,6,3,7,4,5,6,4,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,4,15,1,10,3,2,5,1,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,9,10,4,7,5,3,3,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,ManCity,1937.135403,1886.149532,1858.716655,1888.852156,1978.532102,2009.882528,1989.357354,9,8,5,5,4,3,1,3,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,10,8,2,4,6,6,6,5,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,10,8,2,4,6,6,6,5,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,5,5,1,9,4,5,2,1,2,4,0,1,5,1,2,0,3,0,0,0,0,0,0,0,0,16,6,9,3,7,3,10,2,7,0,3,2,4,4,4,3,0,1,0,0,0,0,0,0,0,0
5,Dortmund,1876.071767,1808.659152,1863.716256,1840.034553,1778.247457,1820.196781,1819.949393,14,4,7,2,7,2,1,5,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,9,11,6,10,3,4,1,4,0,0,1,3,6,2,3,1,3,0,0,0,0,0,0,0,0,21,9,11,6,10,3,4,1,4,0,0,1,3,6,2,3,1,3,0,0,0,0,0,0,0,0,7,13,3,6,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,7,0,3,2,0,4,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Tottenham,1790.059165,1746.540066,1813.415023,1876.204994,1913.637174,1879.218735,1821.436117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,4,9,2,6,2,3,4,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,5,5,4,5,4,0,3,0,1,0,4,4,1,0,3,4,3,3,0,1,3,2,0,2
7,Atalanta,1580.57618,1589.807175,1597.361708,1700.091459,1725.817114,1730.123493,1772.467079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,4,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Valencia,1798.025672,1860.451742,1741.81376,1721.514619,1783.997835,1803.609719,1808.782288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,5,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Chelsea,1930.234937,1858.52772,1812.347578,1901.173692,1860.556193,1859.853144,1840.971422,17,3,10,2,7,1,3,3,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,8,10,4,6,4,1,4,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Bayern,2060.823209,2011.242453,2008.224783,1978.954827,1953.571001,1938.433185,1940.595139,16,4,6,0,8,4,7,0,7,0,0,0,7,4,6,1,1,3,3,5,0,3,3,2,0,0,14,6,10,1,4,5,10,2,5,1,5,1,3,6,1,2,2,4,0,0,0,0,0,0,0,0,14,6,10,1,4,5,10,2,5,1,5,1,3,6,1,2,2,4,0,0,0,0,0,0,0,0,13,6,9,1,4,5,8,1,5,0,3,1,2,1,0,0,2,1,3,4,1,2,2,2,0,0,15,5,8,2,4,8,1,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Napoli,1768.893182,1777.67926,1809.218866,1857.331177,1863.916973,1813.527848,1747.823299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,6,5,5,3,2,6,1,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,6,5,5,3,2,6,1,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,8,5,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,5,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Lyon,1688.789094,1723.38907,1690.295553,1727.135841,1748.240307,1715.984295,1689.136166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,11,6,6,6,5,1,5,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Juventus,1890.405501,1906.372847,1921.533162,1944.510877,1973.160709,1910.337369,1901.424231,7,4,5,2,2,2,5,1,2,1,3,0,1,0,1,0,0,0,3,2,2,1,1,1,1,3,11,2,3,1,8,1,3,0,1,0,2,0,3,0,3,0,0,0,4,1,2,1,2,0,1,4,11,2,3,1,8,1,3,0,1,0,2,0,3,0,3,0,0,0,4,1,2,1,2,0,1,4,7,5,4,1,3,4,4,3,2,2,2,1,3,4,0,3,3,1,0,0,0,0,0,0,0,0,9,4,5,2,4,2,3,2,3,0,0,2,2,3,1,2,1,1,0,0,0,0,0,0,0,0
14,Atletico,1952.400643,1948.93656,1979.687638,1940.533995,1930.054922,1886.226539,1846.231223,14,3,10,0,4,3,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,5,1,2,1,4,2,0,0,4,2,2,1,1,0,1,1,2,4,2,1,0,3,0,0,7,2,5,1,2,1,4,2,0,0,4,2,2,1,1,0,1,1,2,4,2,1,0,3,0,0,5,4,4,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,7,1,2,5,2,3,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Liverpool,1857.413953,1765.388667,1793.565678,1838.662346,1921.199074,2008.999638,2079.801318,5,9,3,5,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,6,12,2,11,4,5,0,0,0,5,0,5,1,3,0,2,1,7,6,5,2,2,4,1,3,9,7,8,2,1,3,3,1,0,0,3,1,6,1,2,0,4,1,4,3,4,0,0,3,2,0
