Season,round,home,visitor,hgoal,vgoal,tothgoal,totvgoal,totagg_home,totagg_visitor
1999,GroupB-prelim,ACF Fiorentina,Arsenal,0,0,0,0,1,0
1999,GroupB-prelim,AIK Solna,Barcelona,1,2,1,2,1,7
1999,GroupA-prelim,Bayer Leverkusen,Lazio,1,1,1,1,2,2
1999,GroupC-prelim,Boavista,Rosenborg BK,0,3,0,3,0,5
1999,GroupC-prelim,Feyenoord,Borussia Dortmund,1,1,1,1,2,2
1999,GroupA-prelim,Dinamo Kiev,NK Maribor,0,1,0,1,2,2
1999,GroupD-prelim,Manchester United,Dinamo Zagreb,0,0,0,0,2,1
1999,GroupD-prelim,Olympique Marseille,Sturm Graz,2,0,2,0,4,3
1999,GroupH-prelim,Chelsea,AC Milan,0,0,0,0,1,1
1999,GroupF-prelim,Bayern Munich,PSV Eindhoven,2,1,2,1,3,3
1999,GroupE-prelim,Molde FK,FC Porto,0,1,0,1,1,4
1999,GroupH-prelim,Galatasaray,Hertha BSC,2,2,2,2,6,3
1999,GroupG-prelim,Sparta Praha,Girondins Bordeaux,0,0,0,0,0,0
1999,GroupE-prelim,Olympiacos,Real Madrid,3,3,3,3,3,6
1999,GroupF-prelim,Valencia CF,Rangers,2,0,2,0,4,1
1999,GroupG-prelim,Willem II,Spartak Moskva,1,3,1,3,2,4
1999,GroupH-prelim,AC Milan,Galatasaray,2,1,2,1,4,4
1999,GroupF-prelim,Rangers,Bayern Munich,1,1,1,1,1,2
1999,GroupH-prelim,Hertha BSC,Chelsea,2,1,2,1,2,3
1999,GroupE-prelim,FC Porto,Olympiacos,2,0,2,0,2,1
1999,GroupG-prelim,Girondins Bordeaux,Willem II,3,2,3,2,3,2
1999,GroupE-prelim,Real Madrid,Molde FK,4,1,4,1,5,1
1999,GroupF-prelim,PSV Eindhoven,Valencia CF,1,1,1,1,1,2
1999,GroupG-prelim,Spartak Moskva,Sparta Praha,1,1,1,1,3,6
1999,GroupB-prelim,Barcelona,ACF Fiorentina,4,2,4,2,7,5
1999,GroupB-prelim,Arsenal,AIK Solna,3,1,3,1,6,3
1999,GroupA-prelim,NK Maribor,Bayer Leverkusen,0,2,0,2,0,2
1999,GroupC-prelim,Borussia Dortmund,Boavista,3,1,3,1,3,2
1999,GroupA-prelim,Lazio,Dinamo Kiev,2,1,2,1,3,1
1999,GroupD-prelim,Dinamo Zagreb,Olympique Marseille,1,2,1,2,3,4
1999,GroupC-prelim,Rosenborg BK,Feyenoord,2,2,2,2,2,3
1999,GroupD-prelim,Sturm Graz,Manchester United,0,3,0,3,1,5
1999,GroupH-prelim,AC Milan,Hertha BSC,1,1,1,1,1,2
1999,GroupF-prelim,Bayern Munich,Valencia CF,1,1,1,1,2,2
1999,GroupH-prelim,Chelsea,Galatasaray,1,0,1,0,6,0
1999,GroupE-prelim,Real Madrid,FC Porto,3,1,3,1,4,3
1999,GroupG-prelim,Girondins Bordeaux,Spartak Moskva,2,1,2,1,4,2
1999,GroupE-prelim,Olympiacos,Molde FK,3,1,3,1,5,4
1999,GroupF-prelim,PSV Eindhoven,Rangers,0,1,0,1,1,5
1999,GroupG-prelim,Sparta Praha,Willem II,4,0,4,0,8,3
1999,GroupB-prelim,AIK Solna,ACF Fiorentina,0,0,0,0,0,3
1999,GroupB-prelim,Barcelona,Arsenal,1,1,1,1,5,3
