,leg,group,HTname,VTname,HTotal_shots,VTotal_shots,HShots_on_target,VShots_on_target,HShots_off_target,VShots_off_target,HShots_saved,VShots_saved,HCorners,VCorners,HFreekicks,VFreekicks,HFouls,VFouls,HOffsides,VOffsides
0,UEFA CHAMPIONS LEAGUE,Group A  ,Paris Saint-Germain,Malmö FF,17,  4,9,  1,8,  3,1,  7,12,  2,14,  18,9,  13,9,  1
1,UEFA CHAMPIONS LEAGUE,Group A  ,Real Madrid,Shakhtar Donetsk,20,  4,7,  1,13,  3,1,  3,6,  2,10,  16,15,  8,1,  2
2,UEFA CHAMPIONS LEAGUE,Group A  ,Malmö FF,Real Madrid,5,  16,4,  8,1,  8,5,  4,1,  7,18,  18,16,  14,2,  4
3,UEFA CHAMPIONS LEAGUE,Group A  ,Shakhtar Donetsk,Paris Saint-Germain,11,  7,4,  5,7,  2,2,  3,6,  5,21,  19,15,  17,4,  4
4,UEFA CHAMPIONS LEAGUE,Group A  ,Paris Saint-Germain,Real Madrid,4,  8,1,  3,3,  5,3,  1,4,  9,10,  21,14,  10,7,  0
5,UEFA CHAMPIONS LEAGUE,Group A  ,Malmö FF,Shakhtar Donetsk,10,  9,4,  2,6,  7,2,  3,4,  10,14,  12,11,  12,1,  2
6,UEFA CHAMPIONS LEAGUE,Group A  ,Real Madrid,Paris Saint-Germain,10,  12,9,  5,1,  7,5,  8,5,  3,20,  14,14,  15,0,  5
7,UEFA CHAMPIONS LEAGUE,Group A  ,Shakhtar Donetsk,Malmö FF,19,  5,14,  2,5,  3,2,  10,10,  2,12,  21,14,  12,7,  0
8,UEFA CHAMPIONS LEAGUE,Group A  ,Shakhtar Donetsk,Real Madrid,7,  12,3,  7,4,  5,3,  0,3,  4,11,  14,11,  11,3,  0
9,UEFA CHAMPIONS LEAGUE,Group A  ,Malmö FF,Paris Saint-Germain,4,  11,3,  6,1,  5,1,  3,7,  4,8,  14,11,  5,3,  3
10,UEFA CHAMPIONS LEAGUE,Group A  ,Paris Saint-Germain,Shakhtar Donetsk,14,  8,6,  3,8,  5,3,  4,7,  5,12,  13,9,  9,4,  3
11,UEFA CHAMPIONS LEAGUE,Group A  ,Real Madrid,Malmö FF,23,  3,12,  1,11,  2,1,  4,5,  3,6,  9,6,  6,3,  0
12,UEFA CHAMPIONS LEAGUE,Group B  ,VfL Wolfsburg,CSKA Moscow,15,  6,8,  4,7,  2,4,  7,5,  1,10,  11,9,  9,2,  1
13,UEFA CHAMPIONS LEAGUE,Group B  ,PSV Eindhoven,Manchester United,7,  8,5,  4,2,  4,3,  3,3,  9,10,  12,9,  9,3,  1
14,UEFA CHAMPIONS LEAGUE,Group B  ,CSKA Moscow,PSV Eindhoven,8,  10,5,  7,3,  3,5,  2,8,  3,12,  11,10,  9,1,  3
15,UEFA CHAMPIONS LEAGUE,Group B  ,Manchester United,VfL Wolfsburg,10,  5,7,  2,3,  3,1,  5,3,  2,16,  18,16,  12,2,  4
16,UEFA CHAMPIONS LEAGUE,Group B  ,VfL Wolfsburg,PSV Eindhoven,14,  7,7,  2,7,  5,2,  4,3,  5,7,  9,8,  4,1,  3
17,UEFA CHAMPIONS LEAGUE,Group B  ,CSKA Moscow,Manchester United,6,  9,3,  5,3,  4,4,  2,3,  1,13,  8,8,  10,0,  3
18,UEFA CHAMPIONS LEAGUE,Group B  ,PSV Eindhoven,VfL Wolfsburg,10,  9,7,  3,3,  6,3,  5,1,  2,9,  24,22,  8,2,  1
19,UEFA CHAMPIONS LEAGUE,Group B  ,Manchester United,CSKA Moscow,15,  3,5,  1,10,  2,1,  4,10,  2,12,  24,14,  11,10,  1
20,UEFA CHAMPIONS LEAGUE,Group B  ,CSKA Moscow,VfL Wolfsburg,8,  9,4,  6,4,  3,3,  3,5,  5,11,  11,11,  6,0,  5
21,UEFA CHAMPIONS LEAGUE,Group B  ,Manchester United,PSV Eindhoven,10,  7,7,  4,3,  3,4,  7,9,  3,12,  15,13,  12,2,  0
22,UEFA CHAMPIONS LEAGUE,Group B  ,VfL Wolfsburg,Manchester United,12,  14,8,  10,4,  4,9,  5,6,  5,18,  11,8,  12,3,  6
23,UEFA CHAMPIONS LEAGUE,Group B  ,PSV Eindhoven,CSKA Moscow,6,  5,3,  2,3,  3,1,  1,4,  5,8,  27,17,  7,10,  1
24,UEFA CHAMPIONS LEAGUE,Group C  ,Galatasaray SK,Atlético Madrid,18,  9,4,  6,14,  3,4,  4,8,  4,17,  18,17,  17,1,  0
25,UEFA CHAMPIONS LEAGUE,Group C  ,SL Benfica,FC Astana,15,  10,8,  1,7,  9,1,  6,2,  1,19,  15,15,  15,0,  4
26,UEFA CHAMPIONS LEAGUE,Group C  ,FC Astana,Galatasaray SK,12,  9,7,  6,5,  3,5,  5,7,  1,7,  12,10,  5,2,  2
27,UEFA CHAMPIONS LEAGUE,Group C  ,Atlético Madrid,SL Benfica,16,  4,7,  2,9,  2,0,  6,12,  1,12,  17,14,  12,3,  0
28,UEFA CHAMPIONS LEAGUE,Group C  ,Galatasaray SK,SL Benfica,13,  14,8,  7,5,  7,6,  5,5,  4,15,  22,18,  13,4,  2
29,UEFA CHAMPIONS LEAGUE,Group C  ,Atlético Madrid,FC Astana,17,  9,10,  3,7,  6,3,  7,10,  2,19,  9,7,  19,2,  0
30,UEFA CHAMPIONS LEAGUE,Group C  ,FC Astana,Atlético Madrid,9,  12,4,  5,5,  7,4,  4,4,  7,12,  13,12,  10,1,  2
31,UEFA CHAMPIONS LEAGUE,Group C  ,SL Benfica,Galatasaray SK,16,  6,9,  3,7,  3,2,  6,8,  4,19,  19,16,  16,3,  3
32,UEFA CHAMPIONS LEAGUE,Group C  ,FC Astana,SL Benfica,9,  14,5,  8,4,  6,6,  3,3,  4,14,  15,14,  13,1,  1
33,UEFA CHAMPIONS LEAGUE,Group C  ,Atlético Madrid,Galatasaray SK,21,  3,11,  1,10,  2,1,  10,8,  3,10,  7,6,  10,1,  0
34,UEFA CHAMPIONS LEAGUE,Group C  ,Galatasaray SK,FC Astana,16,  13,10,  6,6,  7,4,  8,8,  5,9,  11,9,  9,2,  0
35,UEFA CHAMPIONS LEAGUE,Group C  ,SL Benfica,Atlético Madrid,8,  6,3,  5,5,  1,3,  2,2,  5,18,  10,9,  16,1,  2
36,UEFA CHAMPIONS LEAGUE,Group D  ,Manchester City,Juventus FC,11,  7,5,  3,6,  4,1,  5,6,  1,12,  20,20,  9,0,  3
37,UEFA CHAMPIONS LEAGUE,Group D  ,Sevilla FC,Borussia Mönchengladbach,13,  6,6,  1,7,  5,1,  3,5,  1,12,  16,14,  11,2,  1
38,UEFA CHAMPIONS LEAGUE,Group D  ,Juventus FC,Sevilla FC,16,  2,6,  1,10,  1,1,  4,3,  0,14,  12,9,  14,3,  0
39,UEFA CHAMPIONS LEAGUE,Group D  ,Borussia Mönchengladbach,Manchester City,9,  17,5,  4,4,  13,2,  4,4,  11,7,  14,13,  6,1,  1
40,UEFA CHAMPIONS LEAGUE,Group D  ,Manchester City,Sevilla FC,11,  10,7,  5,4,  5,3,  5,5,  12,8,  13,13,  5,0,  3
41,UEFA CHAMPIONS LEAGUE,Group D  ,Juventus FC,Borussia Mönchengladbach,13,  1,2,  0,11,  1,0,  2,12,  5,15,  11,11,  15,0,  0
42,UEFA CHAMPIONS LEAGUE,Group D  ,Borussia Mönchengladbach,Juventus FC,19,  12,9,  4,10,  8,3,  7,8,  8,10,  10,9,  9,1,  1
43,UEFA CHAMPIONS LEAGUE,Group D  ,Sevilla FC,Manchester City,7,  16,2,  10,5,  6,6,  1,9,  2,12,  15,10,  12,5,  0
44,UEFA CHAMPIONS LEAGUE,Group D  ,Juventus FC,Manchester City,10,  9,6,  1,4,  8,1,  4,2,  8,17,  13,13,  14,0,  3
45,UEFA CHAMPIONS LEAGUE,Group D  ,Borussia Mönchengladbach,Sevilla FC,21,  13,13,  8,8,  5,6,  9,6,  8,5,  7,7,  3,0,  2
46,UEFA CHAMPIONS LEAGUE,Group D  ,Manchester City,Borussia Mönchengladbach,15,  7,8,  3,7,  4,1,  4,7,  0,12,  10,8,  12,2,  0
47,UEFA CHAMPIONS LEAGUE,Group D  ,Sevilla FC,Juventus FC,12,  14,5,  7,7,  7,6,  4,4,  3,14,  16,12,  14,4,  0
48,UEFA CHAMPIONS LEAGUE,Group E  ,Bayer 04 Leverkusen,BATE Borisov,14,  2,9,  2,5,  0,1,  5,3,  3,11,  11,10,  10,1,  1
49,UEFA CHAMPIONS LEAGUE,Group E  ,AS Roma,FC Barcelona,6,  10,3,  5,3,  5,3,  2,1,  7,5,  15,13,  2,2,  3
50,UEFA CHAMPIONS LEAGUE,Group E  ,BATE Borisov,AS Roma,8,  14,7,  8,1,  6,6,  4,1,  8,13,  18,15,  9,3,  4
51,UEFA CHAMPIONS LEAGUE,Group E  ,FC Barcelona,Bayer 04 Leverkusen,12,  8,7,  3,5,  5,2,  5,4,  1,27,  12,9,  22,3,  5
52,UEFA CHAMPIONS LEAGUE,Group E  ,Bayer 04 Leverkusen,AS Roma,14,  13,9,  9,5,  4,5,  5,4,  6,12,  17,17,  11,0,  1
53,UEFA CHAMPIONS LEAGUE,Group E  ,BATE Borisov,FC Barcelona,3,  16,2,  7,1,  9,5,  2,0,  9,7,  23,19,  6,4,  1
54,UEFA CHAMPIONS LEAGUE,Group E  ,AS Roma,Bayer 04 Leverkusen,9,  5,5,  4,4,  1,2,  2,2,  0,18,  14,12,  10,2,  8
55,UEFA CHAMPIONS LEAGUE,Group E  ,FC Barcelona,BATE Borisov,16,  3,8,  3,8,  0,3,  4,7,  1,11,  15,11,  9,4,  2
56,UEFA CHAMPIONS LEAGUE,Group E  ,BATE Borisov,Bayer 04 Leverkusen,4,  16,1,  8,3,  8,7,  0,0,  7,17,  11,10,  16,1,  1
57,UEFA CHAMPIONS LEAGUE,Group E  ,FC Barcelona,AS Roma,13,  6,10,  4,3,  2,3,  4,11,  3,13,  22,12,  11,10,  2
58,UEFA CHAMPIONS LEAGUE,Group E  ,Bayer 04 Leverkusen,FC Barcelona,17,  4,10,  2,7,  2,1,  9,6,  1,17,  13,10,  13,3,  4
59,UEFA CHAMPIONS LEAGUE,Group E  ,AS Roma,BATE Borisov,17,  5,7,  1,10,  4,1,  7,7,  1,13,  13,12,  12,1,  1
60,UEFA CHAMPIONS LEAGUE,Group F  ,GNK Dinamo Zagreb,Arsenal FC,7,  8,3,  4,4,  4,3,  1,2,  7,19,  17,14,  14,3,  5
61,UEFA CHAMPIONS LEAGUE,Group F  ,Olympiacos Piraeus,Bayern Munich,5,  15,4,  7,1,  8,4,  4,4,  3,19,  16,14,  15,2,  4
62,UEFA CHAMPIONS LEAGUE,Group F  ,Arsenal FC,Olympiacos Piraeus,14,  6,8,  4,6,  2,2,  6,8,  4,11,  14,11,  10,3,  1
63,UEFA CHAMPIONS LEAGUE,Group F  ,Bayern Munich,GNK Dinamo Zagreb,25,  5,12,  2,13,  3,2,  6,12,  1,10,  6,4,  10,2,  0
64,UEFA CHAMPIONS LEAGUE,Group F  ,GNK Dinamo Zagreb,Olympiacos Piraeus,8,  13,4,  6,4,  7,5,  3,7,  5,12,  15,11,  11,4,  1
65,UEFA CHAMPIONS LEAGUE,Group F  ,Arsenal FC,Bayern Munich,11,  13,8,  6,3,  7,6,  6,5,  11,6,  13,8,  6,5,  0
66,UEFA CHAMPIONS LEAGUE,Group F  ,Olympiacos Piraeus,GNK Dinamo Zagreb,13,  3,6,  3,7,  0,2,  4,8,  2,21,  9,9,  18,0,  3
67,UEFA CHAMPIONS LEAGUE,Group F  ,Bayern Munich,Arsenal FC,21,  4,16,  2,5,  2,1,  11,9,  1,9,  10,8,  7,2,  2
68,UEFA CHAMPIONS LEAGUE,Group F  ,Arsenal FC,GNK Dinamo Zagreb,11,  4,5,  1,6,  3,1,  2,9,  7,11,  6,5,  9,1,  2
69,UEFA CHAMPIONS LEAGUE,Group F  ,Bayern Munich,Olympiacos Piraeus,14,  6,9,  0,5,  6,0,  4,5,  2,8,  10,5,  7,5,  1
