팀,득점,실점,홈득점,홈실점,어웨이득점,어웨이 실점,16득점,16실점,16홈득점,16홈실점,16어웨이득점,16어웨이실점,8득점 ,8실점,8홈득점,8홈실점,8어웨이득점,8어웨이실점,4득점,4실점,4홈득점,4홈실점,4어웨이득점,4어웨이실점,결득점,결실점
RBLeipzig,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RealMadrid,12,5,5,3,7,3,3,5,1,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ParisSG,17,9,10,4,7,5,3,3,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ManCity,16,6,9,3,7,3,10,2,7,0,3,2,4,4,4,3,0,1,0,0,0,0,0,0,0,0
Dortmund,10,2,7,0,3,2,0,4,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tottenham,9,10,5,5,4,5,4,0,3,0,1,0,4,4,1,0,3,4,3,3,0,1,3,2,0,2
Atalanta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valencia,6,6,5,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bayern,15,5,8,2,4,8,1,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Napoli,7,5,5,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barcelona,14,5,7,1,7,4,5,1,5,1,0,0,4,0,3,0,1,0,3,4,3,0,0,4,0,0
Lyon,12,11,6,6,6,5,1,5,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Juventus,9,4,5,2,4,2,3,2,3,0,0,2,2,3,1,2,1,1,0,0,0,0,0,0,0,0
Atletico,9,6,7,1,2,5,2,3,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liverpool,9,7,8,2,1,3,3,1,0,0,3,1,6,1,2,0,4,1,4,3,4,0,0,3,2,0
