team,Elo_2014,Elo_2015,Elo_2016,Elo_2017,Elo_2018,Elo_2019,Elo_2020
Barcelona,2023.496398,2057.412832,2053.10807,2019.941732,2029.96226,2002.559819,1968.160767
RBLeipzig,1439.176985,1476.252716,1605.082893,1708.091552,1708.708776,1777.771823,1814.504968
RealMadrid,2056.538702,2054.278139,2048.936085,2047.364041,1995.996024,1874.416662,1902.399182
ParisSG,1859.954469,1864.813026,1888.411422,1890.448508,1899.095539,1861.699558,1878.772717
ManCity,1937.135403,1886.149532,1858.716655,1888.852156,1978.532102,2009.882528,1989.357354
Dortmund,1876.071767,1808.659152,1863.716256,1840.034553,1778.247457,1820.196781,1819.949393
Tottenham,1790.059165,1746.540066,1813.415023,1876.204994,1913.637174,1879.218735,1821.436117
Atalanta,1580.57618,1589.807175,1597.361708,1700.091459,1725.817114,1730.123493,1772.467079
Valencia,1798.025672,1860.451742,1741.81376,1721.514619,1783.997835,1803.609719,1808.782288
Chelsea,1930.234937,1858.52772,1812.347578,1901.173692,1860.556193,1859.853144,1840.971422
Bayern,2060.823209,2011.242453,2008.224783,1978.954827,1953.571001,1938.433185,1940.595139
Napoli,1768.893182,1777.67926,1809.218866,1857.331177,1863.916973,1813.527848,1747.823299
Lyon,1688.789094,1723.38907,1690.295553,1727.135841,1748.240307,1715.984295,1689.136166
Juventus,1890.405501,1906.372847,1921.533162,1944.510877,1973.160709,1910.337369,1901.424231
Atletico,1952.400643,1948.93656,1979.687638,1940.533995,1930.054922,1886.226539,1846.231223
Liverpool,1857.413953,1765.388667,1793.565678,1838.662346,1921.199074,2008.999638,2079.801318
