,ÆÀ,2014_µæÁ¡,2014_½ÇÁ¡,2014_È¨µæÁ¡,2014_È¨½ÇÁ¡,2014_¾î¿þÀÌµæÁ¡,2014_¾î¿þÀÌ ½ÇÁ¡,2014_16µæÁ¡,2014_16½ÇÁ¡,2014_16È¨µæÁ¡,2014_16È¨½ÇÁ¡,2014_16¾î¿þÀÌµæÁ¡,2014_16¾î¿þÀÌ½ÇÁ¡,2014_8µæÁ¡ ,2014_8½ÇÁ¡,2014_8È¨µæÁ¡,2014_8È¨½ÇÁ¡,2014_8¾î¿þÀÌµæÁ¡,2014_8¾î¿þÀÌ½ÇÁ¡,2014_4µæÁ¡,2014_4½ÇÁ¡,2014_4È¨µæÁ¡,2014_4È¨½ÇÁ¡,2014_4¾î¿þÀÌµæÁ¡,2014_4¾î¿þÀÌ½ÇÁ¡,2014_°áµæÁ¡,2014_°á½ÇÁ¡,2015_µæÁ¡,2015_½ÇÁ¡,2015_È¨µæÁ¡,2015_È¨½ÇÁ¡,2015_¾î¿þÀÌµæÁ¡,2015_¾î¿þÀÌ ½ÇÁ¡,2015_16µæÁ¡,2015_16½ÇÁ¡,2015_16È¨µæÁ¡,2015_16È¨½ÇÁ¡,2015_16¾î¿þÀÌµæÁ¡,2015_16¾î¿þÀÌ½ÇÁ¡,2015_8µæÁ¡ ,2015_8½ÇÁ¡,2015_8È¨µæÁ¡,2015_8È¨½ÇÁ¡,2015_8¾î¿þÀÌµæÁ¡,2015_8¾î¿þÀÌ½ÇÁ¡,2015_4µæÁ¡,2015_4½ÇÁ¡,2015_4È¨µæÁ¡,2015_4È¨½ÇÁ¡,2015_4¾î¿þÀÌµæÁ¡,2015_4¾î¿þÀÌ½ÇÁ¡,2015_°áµæÁ¡,2015_°á½ÇÁ¡,2016_µæÁ¡,2016_½ÇÁ¡,2016_È¨µæÁ¡,2016_È¨½ÇÁ¡,2016_¾î¿þÀÌµæÁ¡,2016_¾î¿þÀÌ ½ÇÁ¡,2016_16µæÁ¡,2016_16½ÇÁ¡,2016_16È¨µæÁ¡,2016_16È¨½ÇÁ¡,2016_16¾î¿þÀÌµæÁ¡,2016_16¾î¿þÀÌ½ÇÁ¡,2016_8µæÁ¡ ,2016_8½ÇÁ¡,2016_8È¨µæÁ¡,2016_8È¨½ÇÁ¡,2016_8¾î¿þÀÌµæÁ¡,2016_8¾î¿þÀÌ½ÇÁ¡,2016_4µæÁ¡,2016_4½ÇÁ¡,2016_4È¨µæÁ¡,2016_4È¨½ÇÁ¡,2016_4¾î¿þÀÌµæÁ¡,2016_4¾î¿þÀÌ½ÇÁ¡,2016_°áµæÁ¡,2016_°á½ÇÁ¡,2017_µæÁ¡,2017_½ÇÁ¡,2017_È¨µæÁ¡,2017_È¨½ÇÁ¡,2017_¾î¿þÀÌµæÁ¡,2017_¾î¿þÀÌ ½ÇÁ¡,2017_16µæÁ¡,2017_16½ÇÁ¡,2017_16È¨µæÁ¡,2017_16È¨½ÇÁ¡,2017_16¾î¿þÀÌµæÁ¡,2017_16¾î¿þÀÌ½ÇÁ¡,2017_8µæÁ¡ ,2017_8½ÇÁ¡,2017_8È¨µæÁ¡,2017_8È¨½ÇÁ¡,2017_8¾î¿þÀÌµæÁ¡,2017_8¾î¿þÀÌ½ÇÁ¡,2017_4µæÁ¡,2017_4½ÇÁ¡,2017_4È¨µæÁ¡,2017_4È¨½ÇÁ¡,2017_4¾î¿þÀÌµæÁ¡,2017_4¾î¿þÀÌ½ÇÁ¡,2017_°áµæÁ¡,2017_°á½ÇÁ¡,2018_µæÁ¡,2018_½ÇÁ¡,2018_È¨µæÁ¡,2018_È¨½ÇÁ¡,2018_¾î¿þÀÌµæÁ¡,2018_¾î¿þÀÌ ½ÇÁ¡,2018_16µæÁ¡,2018_16½ÇÁ¡,2018_16È¨µæÁ¡,2018_16È¨½ÇÁ¡,2018_16¾î¿þÀÌµæÁ¡,2018_16¾î¿þÀÌ½ÇÁ¡,2018_8µæÁ¡ ,2018_8½ÇÁ¡,2018_8È¨µæÁ¡,2018_8È¨½ÇÁ¡,2018_8¾î¿þÀÌµæÁ¡,2018_8¾î¿þÀÌ½ÇÁ¡,2018_4µæÁ¡,2018_4½ÇÁ¡,2018_4È¨µæÁ¡,2018_4È¨½ÇÁ¡,2018_4¾î¿þÀÌµæÁ¡,2018_4¾î¿þÀÌ½ÇÁ¡,2018_°áµæÁ¡,2018_°á½ÇÁ¡
0,RBLeipzig,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,11,5,5,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,RealMadrid,16,2,10,1,6,1,5,4,4,3,0,2,1,0,1,0,0,0,3,2,1,1,1,2,0,0,16,10,9,4,7,6,6,2,3,1,3,1,6,3,4,2,2,1,4,2,3,0,1,2,4,1,16,10,9,4,7,6,6,2,3,1,3,1,6,3,4,2,2,1,4,2,3,0,1,2,4,1,17,7,7,3,10,4,5,2,3,1,2,1,4,3,1,3,3,0,4,3,2,2,2,1,3,1,12,5,5,3,7,3,3,5,1,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ParisSG,10,7,7,3,3,4,3,3,1,1,2,2,1,5,1,3,0,2,0,0,0,0,0,0,0,0,13,7,6,3,7,4,5,6,4,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,7,6,3,7,4,5,6,4,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,4,15,1,10,3,2,5,1,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,9,10,4,7,5,3,3,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,ManCity,9,8,5,5,4,3,1,3,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,10,8,2,4,6,6,6,5,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,10,8,2,4,6,6,6,5,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,5,5,1,9,4,5,2,1,2,4,0,1,5,1,2,0,3,0,0,0,0,0,0,0,0,16,6,9,3,7,3,10,2,7,0,3,2,4,4,4,3,0,1,0,0,0,0,0,0,0,0
4,Dortmund,14,4,7,2,7,2,1,5,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,9,11,6,10,3,4,1,4,0,0,1,3,6,2,3,1,3,0,0,0,0,0,0,0,0,21,9,11,6,10,3,4,1,4,0,0,1,3,6,2,3,1,3,0,0,0,0,0,0,0,0,7,13,3,6,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,7,0,3,2,0,4,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Tottenham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,4,9,2,6,2,3,4,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,5,5,4,5,4,0,3,0,1,0,4,4,1,0,3,4,3,3,0,1,3,2,0,2
6,Atalanta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,4,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Valencia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,5,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Chelsea,17,3,10,2,7,1,3,3,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,8,10,4,6,4,1,4,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Bayern,16,4,6,0,8,4,7,0,7,0,0,0,7,4,6,1,1,3,3,5,0,3,3,2,0,0,14,6,10,1,4,5,10,2,5,1,5,1,3,6,1,2,2,4,0,0,0,0,0,0,0,0,14,6,10,1,4,5,10,2,5,1,5,1,3,6,1,2,2,4,0,0,0,0,0,0,0,0,13,6,9,1,4,5,8,1,5,0,3,1,2,1,0,0,2,1,3,4,1,2,2,2,0,0,15,5,8,2,4,8,1,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
