팀,총골수,슈팅횟수,유효슈팅,크로스성공율,패스성공율,움직인거리,세이브,점유율,,,,,,,,,,,,,,
RBLeipzig,10,101,35,25,85,695,19,57,,,,,,,,,,,,,,
RealMadrid,14,123,49,24,87,641,12,55,,,,,,,,,,,,,,
ParisSG,17,75,35,22,87,630,16,54,,,,,,,,,,,,,,
ManCity,16,92,40,21,89,650,12,61,,,,,,,,,,,,,,
Dortmund,8,72,29,31,86,680,22,50,,,,,,,,,,,,,,
Tottenham,18,80,40,22,83,662,23,52,,,,,,,,,,,,,,
Atalanta,8,85,31,26,85,662,18,49,,,,,,,,,,,,,,
Valencia,9,70,27,22,81,644,23,48,,,,,,,,,,,,,,
Chelsea,11,91,37,31,84,649,15,55,,,,,,,,,,,,,,
Bayern,24,151,64,20,88,683,12,63,,,,,,,,,,,,,,
Napoli,11,88,20,22,82,639,14,50,,,,,,,,,,,,,,
Barcelona,9,82,32,26,88,644,23,57,,,,,,,,,,,,,,
Lyon,9,83,30,17,82,672,12,51,,,,,,,,,,,,,,
Juventus ,12,80,32,19,88,670,16,56,,,,,,,,,,,,,,
Atletico,8,95,34,19,83,678,12,50,,,,,,,,,,,,,,
Liverpool,13,101,35,23,86,665,16,61,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,, 
